i	recharge_time	exec_time
7	1387.2949357454543	3.9756522469979245
0	1467.4395861619407	218.91156692399818
48	1664.0422226301337	245.67291029800253
26	1509.6992607805614	341.61593871399964
10	848.8102271149027	3190.858494648004
23	1400.9958461711412	3287.1236382589996
49	1771.288566817937	3259.8949227849953
1	0	3601.290557856999
3	0	3600.4847188179992
2	0	3600.924631654998
5	0	3600.495346443
6	0	3600.5386134439977
8	0	3600.5187633219975
9	0	3600.0058062550015
12	0	3600.019614404002
19	0	3600.0053235800005
14	0	3600.294961163003
18	0	3600.5502536190033
17	0	3600.594475169004
15	0	3600.768480331004
13	0	3605.5885919320062
20	0	3600.052484797001
21	0	3600.6083607870023
28	0	3600.0236936719957
31	0	3601.9921820689997
34	0	3600.2704551080024
36	0	3600.508994720003
38	0	3600.092753544006
37	0	3601.249574186004
39	0	3600.210669054999
40	0	3601.7249527239983
41	0	3600.3419654799945
42	0	3601.595112533003
43	0	3600.0002710640038
45	0	3600.000069005997
44	0	3600.090922165
46	0	3600.0001952169987
47	0	3600.000410640001
